source,term,recent_df,prior_df,recent_share_pct,prior_share_pct,growth_ratio,score,covered_by,recent_years,prior_years
ieee,become increasingly,29,0,0.4146411209608235,0.0,24.062339147841005,10.81801140218795,,2023-2025,2020-2022
ieee,seamlessly,29,0,0.4146411209608235,0.0,24.062339147841005,10.81801140218795,,2023-2025,2020-2022
ieee,selectively,29,0,0.4146411209608235,0.0,24.062339147841005,10.81801140218795,,2023-2025,2020-2022
ieee,detection accuracy,29,0,0.4146411209608235,0.0,24.062339147841005,10.81801140218795,,2023-2025,2020-2022
ieee,highlight the potential,29,0,0.4146411209608235,0.0,24.062339147841005,10.81801140218795,,2023-2025,2020-2022
ieee,underscores,29,0,0.4146411209608235,0.0,24.062339147841005,10.81801140218795,,2023-2025,2020-2022
ieee,eliminates the need,28,0,0.4003431512725193,0.0,23.267086073777524,10.597013816980317,,2023-2025,2020-2022
ieee,data-intensive,28,0,0.4003431512725193,0.0,23.267086073777524,10.597013816980317,,2023-2025,2020-2022
ieee,thereby enhancing,28,0,0.4003431512725193,0.0,23.267086073777524,10.597013816980317,,2023-2025,2020-2022
ieee,inclusion,27,0,0.386045181584215,0.0,22.471832999714042,10.370695666808238,,2023-2025,2020-2022
ieee,widely adopted,27,0,0.386045181584215,0.0,22.471832999714042,10.370695666808238,,2023-2025,2020-2022
ieee,ghz frequency,27,0,0.386045181584215,0.0,22.471832999714042,10.370695666808238,,2023-2025,2020-2022
ieee,impacting,27,0,0.386045181584215,0.0,22.471832999714042,10.370695666808238,,2023-2025,2020-2022
ieee,contemporary,27,0,0.386045181584215,0.0,22.471832999714042,10.370695666808238,,2023-2025,2020-2022
ieee,well-suited,27,0,0.386045181584215,0.0,22.471832999714042,10.370695666808238,,2023-2025,2020-2022
ieee,thereby reducing,26,0,0.37174721189591076,0.0,21.676579925650557,10.138760190615645,,2023-2025,2020-2022
ieee,adaptable,26,0,0.37174721189591076,0.0,21.676579925650557,10.138760190615645,,2023-2025,2020-2022
ieee,through-silicon,26,0,0.37174721189591076,0.0,21.676579925650557,10.138760190615645,,2023-2025,2020-2022
ieee,address this challenge,26,0,0.37174721189591076,0.0,21.676579925650557,10.138760190615645,,2023-2025,2020-2022
ieee,emphasizing,26,0,0.37174721189591076,0.0,21.676579925650557,10.138760190615645,,2023-2025,2020-2022
ieee,necessitates,26,0,0.37174721189591076,0.0,21.676579925650557,10.138760190615645,,2023-2025,2020-2022
ieee,metrics including,25,0,0.35744924220760654,0.0,20.881326851587076,9.900883957003197,,2023-2025,2020-2022
ieee,bayesian,25,0,0.35744924220760654,0.0,20.881326851587076,9.900883957003197,,2023-2025,2020-2022
ieee,lifespan,25,0,0.35744924220760654,0.0,20.881326851587076,9.900883957003197,,2023-2025,2020-2022
ieee,mean absolute error,25,0,0.35744924220760654,0.0,20.881326851587076,9.900883957003197,,2023-2025,2020-2022
ieee,wavelet,25,0,0.35744924220760654,0.0,20.881326851587076,9.900883957003197,,2023-2025,2020-2022
ieee,vast,25,0,0.35744924220760654,0.0,20.881326851587076,9.900883957003197,,2023-2025,2020-2022
ieee,shielding,25,0,0.35744924220760654,0.0,20.881326851587076,9.900883957003197,,2023-2025,2020-2022
ieee,failure mechanisms,25,0,0.35744924220760654,0.0,20.881326851587076,9.900883957003197,,2023-2025,2020-2022
ieee,spad,25,0,0.35744924220760654,0.0,20.881326851587076,9.900883957003197,,2023-2025,2020-2022
ieee,significant potential,25,0,0.35744924220760654,0.0,20.881326851587076,9.900883957003197,,2023-2025,2020-2022
ieee,refined,24,0,0.3431512725193023,0.0,20.086073777523595,9.656713508866776,,2023-2025,2020-2022
ieee,sota,24,0,0.3431512725193023,0.0,20.086073777523595,9.656713508866776,,2023-2025,2020-2022
